"country","mim20kc","mim45kc","mom45kc","mum20kc","mum45kc"
"Angola",335.627325611968,514.983090642448,672.228963096279,426.10510695856,635.478432023429
"Burkina Faso",279.894967367073,434.2588104795,676.962722854912,436.835045145272,634.530051748732
"Burundi",187.613931484185,375.6046817905,576.869336688563,257.842191109678,511.410689263482
"Benin",227.27606369968,373.968689776287,578.274984726365,320.667571509318,520.861591677499
"Democratic Republic of the Congo",288.083311558354,439.208118853057,641.104006696873,401.928797380337,590.243814523001
"Central African Republic",263.695083570066,322.7200421546,498.707765631784,373.593144116143,443.37905127863
"Congo",176.335286325,234.538407789796,388.5900946594,238.704825684336,324.053983371449
"Cameroon",275.008508361073,385.616025121686,567.322977266262,373.271371294066,513.22921385471
"Eritrea",139.640128264638,288.509168573058,431.102195931235,172.471234204419,376.832085318018
"Ethiopia",175.331581115451,367.585868792373,556.5017834986,241.041712036045,498.608614448462
"Gabon",148.109467922855,256.618401795128,405.775629602427,198.280389465189,342.354132925757
"Ghana",139.193011312204,264.914511701791,446.733714402161,193.47251392577,374.979082021998
"Gambia",176.668657327886,321.651503793055,576.318045451996,266.371022838638,512.40089723699
"Guinea",265.240636764509,456.911653481321,654.028050253773,380.195401199368,613.628566960626
"Equatorial Guinea",244.062852582709,375.609272375927,551.906143179733,329.977296534302,502.206895993422
"Guinea-Bissau",227.833120650868,404.381404337348,591.768692479251,309.354060624724,539.53844855977
"Kenya",154.615243615316,260.023460901911,417.628270377701,206.100757825743,351.836728966904
"Liberia",255.051642388657,464.559486149793,648.980635053597,340.958651835043,609.210920124486
"Lesotho",155.966798501706,155.061227527502,277.253443712442,222.231360902484,218.570587938146
"Madagascar",139.655327379138,308.542410648363,485.220270332983,191.274557728849,416.107575370493
"Mali",328.399068909042,487.837276196337,704.2212598366,484.419757571275,672.543726905946
"Malawi",217.841229092768,361.603489666793,524.820519280549,295.099500393212,481.127869872186
"Mozambique",282.94204408519,411.086846872514,584.758246775379,382.422149669412,545.785884702564
"Namibia",105.058557259419,151.736538526863,264.216224192885,139.502065691273,206.195862624497
"Niger",300.102212992443,501.134754115079,758.40430014893,516.251580744105,736.580716406918
"Nigeria",268.633393872753,420.655097532466,628.63596168123,376.179159124159,566.952767342004
"Rwanda",164.956394206124,401.297584032006,615.494032295579,214.820651341656,574.965918603337
"South Sudan",236.417598199136,395.951136605453,590.249343006977,327.592592417421,533.642095384522
"Sierra Leone",326.94311840349,436.891404479517,587.369191060295,426.973551058145,544.675996216017
"Senegal",129.257790800276,276.794180445996,499.780647040864,182.600128040593,444.871229670958
"Sao Tome and Principe",128.688241247631,292.586461262643,405.237977518493,154.657076633957,365.768478854772
"Eswatini",152.559291289516,150.967996897415,257.298428725414,207.148750788434,210.266252536285
"Chad",329.698744054578,443.800550832349,631.36407731899,463.470039774786,582.813573863473
"Togo",186.809419466375,314.511407725703,529.58885716614,261.894365074894,455.018336736141
"Tanzania",180.588539377758,327.534846476571,492.216517915121,239.18103988246,439.115975016854
"Uganda",232.145171465951,367.672756261989,541.233971249142,307.828516264277,490.262914789938
"South Africa",86.6885760235366,112.388285268393,200.850467458098,112.873829827902,154.617197115009
"Zambia",224.335661748288,331.856748103814,489.220174856651,301.489026293912,443.798453758817
"Zimbabwe",147.803110350804,140.704124170278,246.45933353522,203.658878396168,196.942438002511
"United Arab Emirates",13.6831184801399,36.3040449648087,59.9125410972471,15.5737467629941,41.6252174052802
"Djibouti",108.452407254407,249.905238047354,421.809180044796,151.692473193322,355.00329309022
"Algeria",50.9705340979506,121.674138640042,163.67271343926,57.3801457613515,146.099394616699
"Egypt",62.9172524184787,196.060132342431,274.261029593804,77.7015765824646,249.958425967449
"Iraq",86.1896819868772,160.638161268536,232.710070050965,101.725100117456,197.383700158581
"Jordan",45.4126512452853,106.328615752861,140.701992570552,51.4184224416524,122.846262634915
"Comoros",187.142860845993,338.558179415741,484.127611718329,240.604963738496,434.024442974318
"Kuwait",17.7256341209623,36.4824574770692,53.2312143045118,20.0959889076405,42.0134224734061
"Lebanon",19.3464331932372,60.0319973173868,79.5607054604363,21.7940994412707,69.7394320725194
"Libya",23.9396873953737,81.7474133914844,121.959499892383,27.6017709345583,96.1280498626908
"Morocco",51.7799745349095,130.136881682878,176.858703266136,60.4287508382866,159.656788071262
"Mauritania",172.149976809268,297.442503106767,466.577136678022,250.355601186084,435.040895171006
"Oman",21.5302644631546,107.626046292014,165.325026404977,24.6255532136452,131.961493210514
"Palestinian Territory",64.866132995434,153.471616209049,206.22260423809,74.5208349259391,180.883598064785
"Qatar",14.7310863658876,50.9823383810761,74.8920850066198,16.8080954508131,58.6939009399311
"Saudi Arabia",22.0392913209823,100.578070376581,154.977852816005,24.5188259150178,117.694671127548
