"country","mim20kc","mim45kc","mom45kc","mum20kc","mum45kc"
"Angola",329.888734633543,514.649194933584,687.600009582681,418.819517448842,635.066411657355
"Burkina Faso",274.211220229534,433.848119234402,691.235998184263,427.964360685394,633.929958139308
"Burundi",181.654422836417,375.326796183273,583.564210450782,249.651899719686,511.032329576242
"Benin",221.220558161708,373.106603076314,596.217323727427,312.123758212338,519.660881930967
"Botswana",90.4291749341735,124.282129060356,223.107062081656,114.363357361576,171.870830531277
"Democratic Republic of the Congo",282.502559586947,438.821510711481,659.257489744132,394.14262984355,589.724258862679
"Central African Republic",254.71657624539,321.694066737671,514.54863880877,360.872737138952,441.969482774747
"Congo",167.992201631878,233.397318596238,406.23277468217,227.410803830589,322.477378063862
"Cote D'Ivoire",205.232784165354,336.204439872256,528.603173342644,282.54442821122,450.73216846147
"Cameroon",268.323364216688,384.993827209618,589.619634347315,364.197568679941,512.401109926271
"Eritrea",132.264117035926,287.464567960821,439.021724098989,163.361032316673,375.46769530927
"Ethiopia",168.888181620889,367.068612279608,563.999501758294,232.183478763862,497.906986407125
"Gabon",139.679036046132,255.51203743572,424.444130924216,186.994214858532,340.878134289979
"Ghana",129.972856429567,263.535867288656,458.664417418483,180.656880963224,373.027649413979
"Gambia",171.715131817337,321.24445811216,593.443196825435,258.902376861138,511.752460747038
"Guinea",258.029370666574,456.183231602521,668.393324627106,369.858786717123,612.650302409427
"Equatorial Guinea",235.975124099987,374.398809515695,567.419418557182,319.042544475187,500.588451400968
"Guinea-Bissau",218.274242860907,403.529921686759,603.258691188404,296.374921986355,538.402373499575
"Kenya",147.631390317891,259.124872415123,432.017781948708,196.791342896874,350.620852396452
"Liberia",245.982318418084,463.535005989795,659.888693364194,328.834579842792,607.867444166017
"Lesotho",140.554458698548,152.620972832312,286.693784114819,200.270884172498,215.130863437372
"Madagascar",134.450675228279,307.31021155768,495.286705476208,184.14616845097,414.445802601815
"Mali",323.662173508434,487.476556510839,716.859832850344,477.432387816465,672.046430423101
"Malawi",211.679095868453,360.913448009438,536.432721735115,286.751941744993,480.209741916529
"Mozambique",275.566142194064,410.15178125482,597.026032984769,372.45294107733,544.54443020386
"Namibia",94.906050643568,150.062039773082,270.290057441882,126.021053941243,203.920374344934
"Niger",297.529874977495,500.958947594388,768.37251432843,511.826509855147,736.322311473122
"Nigeria",261.342149924597,420.107652178939,642.005201146087,365.968909468133,566.214928528279
"Rwanda",155.316614742447,400.401006539483,612.539082050342,202.266886977788,573.681331997039
"South Sudan",229.972568514756,395.177438427927,599.476006212685,318.66202211049,532.599345715485
"Sierra Leone",316.876206648588,436.225871572722,594.910463247644,413.826600355623,543.846271036473
"Senegal",123.128742709877,276.057099572437,509.661364642533,173.941733377147,443.686572991909
"Sao Tome and Principe",123.533244794614,291.738385101672,418.807584100411,148.461819990827,364.708281038329
"Chad",325.983176296681,443.603925194695,648.379107107734,458.246925135764,582.555358567482
"Togo",179.272205822241,313.56299999983,544.539032179764,251.327693504461,453.64623100206
"Tanzania",174.954590174391,326.764727228545,504.44172256933,231.719138735524,438.083499638694
"Uganda",227.967060423135,367.375304534212,555.263301285622,302.288268689987,489.866286134196
"South Africa",72.863939397364,107.688507458071,204.028835693212,94.8733071113734,148.151519038687
"Zambia",218.319719753613,331.288390234879,501.337598664072,293.404085718346,443.038377777671
