"country","mom45ic","mum20ic","mum45ic","mim20ic","mim45ic"
"Angola",857.079487310854,483.999768186653,820.492796216229,394.878647121653,700.226468080298
"Burkina Faso",842.331056572174,504.566050760551,800.046580628231,350.381367583372,599.962364457541
"Burundi",787.06031661971,317.997315033117,721.706856496575,249.777945529444,585.784497099554
"Benin",704.355931067869,363.32363192141,647.03593506691,272.211528981618,500.286052248924
NA,NA,NA,NA,NA,NA
"Democratic Republic of the Congo",815.157996107452,462.762442559267,764.436834994138,350.844234299732,613.48607110655
NA,NA,NA,NA,NA,NA
"Congo",607.888930127037,298.406167216018,543.341951412691,238.763374306631,453.816872615277
NA,NA,NA,NA,NA,NA
"Cameroon",766.078820614076,441.899984139881,711.993307193384,345.716508001997,584.388772648383
NA,NA,NA,NA,NA,NA
"Ethiopia",756.082617256275,278.704575453591,698.271877843051,215.264808566397,567.191908434738
"Gabon",559.947952054762,241.753354706919,496.53266376037,194.293046869197,410.916922925139
"Ghana",587.67088026363,243.476381839495,516.126086291788,192.619036071333,406.338642523898
"Gambia",730.43624737378,323.41549196473,666.582014150657,235.948819379169,475.734366319298
"Guinea",820.90936863943,449.651542374909,780.639528725811,337.451486534128,624.179043613082
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"Kenya",621.733816366468,253.621369281022,555.870581758329,204.307804979332,463.984238378
"Liberia",812.160310456165,386.975236231235,772.534605408827,303.91786446721,628.206221425707
"Lesotho",673.675953669577,324.73641704462,614.895739870808,264.566486931912,551.654966193148
NA,NA,NA,NA,NA,NA
"Mali",886.499759761894,557.495261186293,855.007169937611,403.358103433854,670.707652846055
"Malawi",802.767704922901,355.658415879685,759.124114112156,280.332844807945,639.62398778437
"Mozambique",837.350720627167,464.931645423366,798.492487075804,367.702102863384,664.104213999239
"Namibia",552.343001574011,207.829394627486,494.291859607219,176.553923102272,440.020294920793
"Niger",920.042202803691,579.377520846494,898.370699264686,364.64631628119,663.489358634532
"Nigeria",851.298766466623,477.669414698617,789.871340120956,372.571831991157,643.733861735837
"Rwanda",858.103820612565,251.203797168835,817.903586222825,204.12597397998,644.392887742736
NA,NA,NA,NA,NA,NA
"Sierra Leone",907.180824415396,560.243156715467,864.955068520825,462.864247761561,757.65482012247
"Senegal",601.459822643054,212.135268998326,546.635188979929,161.21634178516,378.709992411733
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"Chad",877.19156241602,552.388424073505,828.861029003845,419.726066603757,690.012407420329
"Togo",688.749597621324,331.329937216732,614.277935014715,258.984184480155,473.874845385562
"Tanzania",704.724428260452,290.348721584853,651.632872442036,233.410935212007,540.007139145592
"Uganda",782.094247823732,365.119588440427,731.156530668664,290.58640814175,608.406559110398
"South Africa",407.584789564731,150.795647267046,362.904417904932,128.710061673031,322.19080489926
"Zambia",799.906681345776,372.681944821679,754.4977288369,297.319088580437,642.414584486941
"Zimbabwe",656.21404895664,284.963790449801,606.596051134073,232.44986883456,550.391124291061
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"Egypt",312.079243979445,82.1824929482889,288.124394312002,68.6902791903131,235.013277438577
NA,NA,NA,NA,NA,NA
"Jordan",176.204471669854,56.5055114621956,158.494835288048,51.102050871032,142.117154436966
"Comoros",610.326970480386,273.004912356918,560.288584435251,222.26106184171,464.906648956853
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"Yemen ",646.964312629618,229.379330545148,599.410112319047,189.685197447265,497.520170371868
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"Bangladesh",458.352444678097,142.340562611389,426.179283410822,118.383896288573,341.329351543433
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"Indonesia",237.533905009546,76.7886385299386,214.555906280703,67.7319077812986,183.605556270652
"India",417.325967783814,163.990251245779,385.34364345053,137.783119405106,313.767271189643
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"Kyrgyzstan",294.567559673101,96.3485704435846,279.419930027768,86.6561458201808,247.143474269324
"Cambodia",527.928601465978,148.742650542888,458.726286711183,133.083245421801,387.872469880013
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"Myanmar",356.299998876008,121.722517845692,316.288704609202,103.90798111489,266.309293945147
NA,NA,NA,NA,NA,NA
"Maldives",261.619056567966,27.0009638649488,239.85298686949,24.4970475715812,196.955385956067
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"Papua New Guinea",437.888166010992,188.679447782259,393.082965565767,159.664103076278,335.781659500773
"Philippines",225.882095326845,77.9188635291425,194.981771970643,65.145078944822,159.997124907093
"Pakistan",510.240978692346,227.270513765416,487.272588869048,195.118343639946,415.456402292606
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"Tajikistan",418.550856537473,131.16178665874,392.239209551905,116.793098644102,322.665205591532
NA,NA,NA,NA,NA,NA
"Timor-Leste",607.750168078743,200.875610852395,573.907872010013,170.135220628111,482.816788633875
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"Albania",111.339312727131,28.1210408694146,100.459670263385,24.1632388852974,88.8806619725738
"Armenia",133.502493876869,40.523525844229,127.718634782103,36.2866430934525,113.758959806288
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
