"country","mom45ic","mum20ic","mum45ic","mim20ic","mim45ic"
"Angola",672.228963096279,426.10510695856,635.478432023429,335.627325611968,514.983090642448
"Burkina Faso",676.962722854912,436.835045145272,634.530051748732,279.894967367073,434.2588104795
"Burundi",576.869336688563,257.842191109678,511.410689263482,187.613931484185,375.6046817905
"Benin",578.274984726365,320.667571509318,520.861591677499,227.27606369968,373.968689776287
NA,NA,NA,NA,NA,NA
"Democratic Republic of the Congo",641.104006696873,401.928797380337,590.243814523001,288.083311558354,439.208118853057
NA,NA,NA,NA,NA,NA
"Congo",388.5900946594,238.704825684336,324.053983371449,176.335286325,234.538407789796
NA,NA,NA,NA,NA,NA
"Cameroon",567.322977266262,373.271371294066,513.22921385471,275.008508361073,385.616025121686
NA,NA,NA,NA,NA,NA
"Ethiopia",556.5017834986,241.041712036045,498.608614448462,175.331581115451,367.585868792373
"Gabon",405.775629602427,198.280389465189,342.354132925757,148.109467922855,256.618401795128
"Ghana",446.733714402161,193.47251392577,374.979082021998,139.193011312204,264.914511701791
"Gambia",576.318045451996,266.371022838638,512.40089723699,176.668657327886,321.651503793055
"Guinea",654.028050253773,380.195401199368,613.628566960626,265.240636764509,456.911653481321
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"Kenya",417.628270377701,206.100757825743,351.836728966904,154.615243615316,260.023460901911
"Liberia",648.980635053597,340.958651835043,609.210920124486,255.051642388657,464.559486149793
"Lesotho",277.253443712442,222.231360902484,218.570587938146,155.966798501706,155.061227527502
NA,NA,NA,NA,NA,NA
"Mali",704.2212598366,484.419757571275,672.543726905946,328.399068909042,487.837276196337
"Malawi",524.820519280549,295.099500393212,481.127869872186,217.841229092768,361.603489666793
"Mozambique",584.758246775379,382.422149669412,545.785884702564,282.94204408519,411.086846872514
"Namibia",264.216224192885,139.502065691273,206.195862624497,105.058557259419,151.736538526863
"Niger",758.40430014893,516.251580744105,736.580716406918,300.102212992443,501.134754115079
"Nigeria",628.63596168123,376.179159124159,566.952767342004,268.633393872753,420.655097532466
"Rwanda",615.494032295579,214.820651341656,574.965918603337,164.956394206124,401.297584032006
NA,NA,NA,NA,NA,NA
"Sierra Leone",587.369191060295,426.973551058145,544.675996216017,326.94311840349,436.891404479517
"Senegal",499.780647040864,182.600128040593,444.871229670958,129.257790800276,276.794180445996
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"Chad",631.36407731899,463.470039774786,582.813573863473,329.698744054578,443.800550832349
"Togo",529.58885716614,261.894365074894,455.018336736141,186.809419466375,314.511407725703
"Tanzania",492.216517915121,239.18103988246,439.115975016854,180.588539377758,327.534846476571
"Uganda",541.233971249142,307.828516264277,490.262914789938,232.145171465951,367.672756261989
"South Africa",200.850467458098,112.873829827902,154.617197115009,86.6885760235366,112.388285268393
